2026-08-06T17:08:42.040390Z | LINK | writer address 127.0.0.1:45016 read back from config safe_speed.link.host
2026-08-06T17:08:42.172410Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:42.181758Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:08:42.191164Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:08:42.199475Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:08:42.222530Z | LINK | down (peer closed the connection (EOF). If a writer is running, this is the listener refusing a second client: one speed-source client at a time). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:43.222288Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 2, connection 2). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:43.227014Z | SILENT | a: sending again after 1.100 s of silence (22 ticks)
2026-08-06T17:08:43.230372Z | LINK | down (send failed: [Errno 32] Broken pipe). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:43.322227Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:44.222272Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 3, connection 3). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:44.226278Z | SILENT | a: sending again after 0.950 s of silence (19 ticks)
2026-08-06T17:08:44.230175Z | LINK | down (send failed: [Errno 32] Broken pipe). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:44.322317Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:45.272246Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 4, connection 4). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:45.281657Z | SILENT | a: sending again after 1.000 s of silence (20 ticks)
2026-08-06T17:08:45.289660Z | LINK | down (send failed: [Errno 32] Broken pipe). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:45.372216Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:46.272239Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 5, connection 5). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:46.277548Z | SILENT | a: sending again after 0.950 s of silence (19 ticks)
2026-08-06T17:08:46.282039Z | LINK | down (send failed: [Errno 32] Broken pipe). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:46.372189Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:46.583026Z | EXIT | link attempts 5, connections 5, drops 5; sent SPD A 4, SPD B 0, MOT 0, PING 0; refused non-finite 0, out-of-range 0; silent ticks A 86, B 90, MOT 8; discarded stale A 0, B 0, MOT 0
