2026-08-06T17:10:07.472542Z | LINK | writer address 127.0.0.1:45016 read back from config safe_speed.link.host
2026-08-06T17:10:07.594562Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:10:07.601252Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:10:07.606713Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:10:07.610064Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:10:08.944529Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:08.994613Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:09.044430Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:09.094634Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:09.144462Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:09.194431Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:09.244721Z | REFUSED | channel A: reading nan m/s is non-finite and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
