2026-08-06T17:12:22.203431Z | LINK | writer address 172.19.176.1:45116 read back from WSL default route (ip route show default)
2026-08-06T17:12:22.325860Z | LINK | up: connected to the stand-in writer at 172.19.176.1:45116 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:12:22.332709Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:12:22.336859Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:12:22.339985Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:12:22.676037Z | SILENT | a: sending again after 0.400 s of silence (8 ticks)
2026-08-06T17:12:22.683166Z | SILENT | b: sending again after 0.400 s of silence (8 ticks)
2026-08-06T17:12:22.691716Z | SILENT | mot: sending again after 0.400 s of silence (8 ticks)
2026-08-06T17:12:22.697245Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-06T17:12:36.796552Z | LINK | down (peer closed the connection (EOF) - either the listener refused this as a second speed-source client, or the writer stopped. This end cannot tell those apart; the writer session log can). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:12:36.846628Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:12:36.849987Z | SILENT | channel B: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:12:38.846449Z | LINK | connect attempt 2 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:40.896480Z | LINK | connect attempt 3 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:42.996511Z | LINK | connect attempt 4 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:45.096433Z | LINK | connect attempt 5 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:47.146591Z | LINK | connect attempt 6 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:49.196477Z | LINK | connect attempt 7 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:51.246634Z | LINK | connect attempt 8 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:53.346544Z | LINK | connect attempt 9 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:55.415640Z | LINK | connect attempt 10 to 172.19.176.1:45116 failed: no completion within 2.0 s. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:12:56.767933Z | EXIT | link attempts 11, connections 1, drops 1; sent SPD A 282, SPD B 282, MOT 282, PING 14; refused non-finite 0, out-of-range 0; silent ticks A 408, B 408, MOT 8; discarded stale A 0, B 0, MOT 0
